Palavras_corr
abrir
abriu
acabamos
acabar
acesso
acompanhar
adir
ajudar
ajudaram
alem
alguem
alguma
algumas
alunos
ampla
ano
ansiosa
ante
antecipado
ao
aos
apenas
apesar
aplicar
aprendizado
apresentacao
apresentacoes
apresentado
apresentar
apresentou
arrasou
aspectos
assunto
ate
atencao
atividade
atual
autoconhecimento
bastante
bate
bicho
bons
brasil
buscar
cabeca
cabecas
caminho
caminhos
certa
certos
chamada
chegar
clara
claro
clima
colegas
com
comecar
compartilhar
completo
compreensao
comunidade
conectar
confortavel
conhecendo
consegui
conseguiram
construtiva
conteudo
conteudos
contexto
continuidade
controle
conversa
conversar
conversas
criatividade
critica
curso
dando
dar
data
decisoes
deixando
deixou
dela
demais
dentro
depois
desafio
desafios
deu
diante
didatica
diferente
dificuldade
dinamicas
dinamico
disc
discussoes
dito
divertida
doi
dominio
duas
durante
duvidas
ela
elaborado
empatia
encontrar
encontro
enfim
enriquecedor
enriquecedora
entender
entendi
entre
entrega
entrevistas
envolvente
es
especificamente
essa
essas
esse
estabelecer
estamos
estar
estava
estrategias
etapas
existe
expectativas
experiencias
facil
fala
falado
falam
fato
fazendo
feita
felipe
fernando
ficaram
ficaria
finalizacao
fiquei
foi
fomos
foram
forca
forma
formato
frente
fui
funciona
futuros
gabriel
geral
gosto
grande
guiar
ha
hora
horas
ideia
importante
impossivel
inclusive
incriveis
informacoes
inicio
inovacao
insight
interessante
interessantes
internet
intervalo
ja
jeito
jornada
karen
legal
lideranca
longo
lupercio
mapeamento
maravilhosa
materiais
me
mentores
metas
meu
meus
mim
minha
minhas
modo
momentos
moradores
mostrando
mostrar
motivo
mt
mto
mudanca
mudar
muita
nada
necessario
nossas
novamente
novo
novos
objetiva
olhos
online
opentalk
oportunidade
oportuno
organizada
organizado
outras
outro
outros
pais
palestra
palestrante
palestrantes
palpavel
pandemia
papo
parceria
participar
particularmente
partir
passada
passo
passou
pela
pelo
penultimo
percebi
perdido
perfis
periodo
personalidades
pertinente
pessoa
pessoalmente
planejamento
poder
poderiamos
possa
possibilidade
possivel
praticamente
praticas
praticos
precisa
preencher
prender
presencial
presencialmente
prestar
primeiro
problema
problemas
profissionais
programa
projeto
prototipacao
proveitoso
qual
qualidade
quarentena
quase
querendo
querer
queria
quero
questao
realizado
realizar
receber
relacao
relevante
respeito
responde
respondeu
respostas
resumo
reuniao
reunioes
ricardo
sabado
sabe
saber
sair
sem
sendo
sensacional
sentimento
serum
simpatica
sobre
somente
sonho
sou
soube
sua
suficiente
surpreender
ta
tambem
tanta
tanto
tarde
tarefas
tela
tenha
tenham
teremos
teria
teste
testis
thinking
time
tirar
tive
tivemos
tiveram
toda
todos
tomar
tornar
torne
totalmente
trabalhar
trazer
trazido
treinamento
trouxe
turma
ultimo
uma
uso
vagas
validacao
vamos
vao
varias
vejo
ver
verdade
vez
vi
vim
visualizar
vontade
